,symbol,organ_name,en_organ_name,icb_name3,en_icb_name3,icb_name2,en_icb_name2,icb_name4,en_icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
0,AIG,Công ty Cổ phần Nguyên liệu Á Châu AIG,AIG Asia Ingredients Corporation,Sản xuất thực phẩm,Food Producers,Thực phẩm và đồ uống,Food & Beverage,Thực phẩm,Food Products,CT,3000,3500,3570,3577
1,ACB,Ngân hàng Thương mại Cổ phần Á Châu,Asia Commercial Joint Stock Bank,Ngân hàng,Banks,Ngân hàng,Banks,Ngân hàng,Banks,NH,8301,8300,8350,8355
2,ATB,Công ty Cổ phần An Thịnh,An Thinh Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
3,BRR,Công ty Cổ phần Cao su Bà Rịa,BaRia Rubber Joint Stock Company,Hóa chất,Chemicals,Hóa chất,Chemicals,"Nhựa, cao su & sợi",Commodity Chemicals,CT,1000,1300,1350,1353
4,BNW,Công ty Cổ phần Nước sạch Bắc Ninh,Bac Ninh Clean Water Joint Stock Company,Nước & Khí đốt,"Gas, Water & Multi-utilities","Điện, nước & xăng dầu khí đốt",Utilities,Nước,Water,CT,7000,7500,7570,7577
5,BTS,Công ty Cổ phần Xi măng VICEM Bút Sơn,VICEM But Son Cement Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Vật liệu xây dựng & Nội thất,Building Materials & Fixtures,CT,2000,2300,2350,2353
6,CKV,Công ty Cổ phần CokyVina,CokyVina Joint Stock Company,Thiết bị và Phần cứng,Technology Hardware & Equipment,Công nghệ Thông tin,Technology,Thiết bị viễn thông,Telecommunications Equipment,CT,9000,9500,9570,9578
7,CSC,Công ty Cổ phần Tập đoàn COTANA,COTANA GROUP Joint Stock Company,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
8,CT6,Công ty Cổ phần Công trình 6,Construction Joint Stock Company No.6,Xây dựng và Vật liệu,Construction & Materials,Xây dựng và Vật liệu,Construction & Materials,Xây dựng,Heavy Construction,CT,2000,2300,2350,2357
9,BDB,Công ty Cổ phần Sách và Thiết bị Bình Định,Binh Dinh Book and Equipment Joint Stock Company,Truyền thông,Media,Truyền thông,Media,"Sách, ấn bản & sản phẩm văn hóa",Publishing,CT,5000,5500,5550,5557
