,symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
0,YTC,8425620,STOCK,UPCOM,Ho Chi Minh City Medical Import Export Joint Stock Company,YTECO,XNK Y tế TP.HCM,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh
1,YEG,8424579,STOCK,HSX,Yeah1 Group Corporation,Yeah1 Group,Tập đoàn Yeah1,Công ty Cổ phần Tập đoàn Yeah1
2,YBM,8424470,STOCK,HSX,Yen Bai Industry Mineral Joint Stock Company,Yen Bai Industry Mineral,Khoáng sản CN Yên Bái,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái
3,YBC,8425710,STOCK,UPCOM,YenBai Cement and Minerals Joint Stock Company,YenBai Cement and Minerals,Xi măng và Khoáng sản Yên Bái,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái
4,XPH,8425864,STOCK,UPCOM,Hanoi Soap Joint Stock Company,Hanoi Soap,Xà phòng Hà Nội,Công ty Cổ phần Xà phòng Hà Nội
5,XMP,8425597,STOCK,UPCOM,Xuan Minh Hydro Power Joint Stock Company,Xuan Minh Hydro Power,Thủy điện Xuân Minh,Công ty Cổ phần Thủy điện Xuân Minh
6,XMD,8425888,STOCK,UPCOM,Xuan Mai - Dao Tu Joint Stock Company,Xuan Mai - Dao Tu,Xuân Mai - Đạo Tú,Công ty Cổ phần Xuân Mai - Đạo Tú
7,XMC,8426182,STOCK,UPCOM,Xuan Mai Investment and Construction Corporation,Vinaconex Xuan Mai Concrete,Bê tông Xuân Mai,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai
8,XLV,8425274,STOCK,UPCOM,Song Da Construction and Service Joint Stock Company,Song Da Construction and Service,XL và DV Sông Đà,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà
9,XHC,8426121,STOCK,UPCOM,XuanHoa Viet Nam Joint Stock Company,XuanHoa Furniture,Nội thất Xuân Hòa,Công ty Cổ phần Xuân Hòa Việt Nam
10,XDH,8425969,STOCK,UPCOM,Hanoi Civil Construction Investment Joint Stock Company,Hanoi Civil Construction Investment,Đầu tư XD Dân dụng Hà Nội,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội
11,XDC,11692839,STOCK,DELISTED,Tan Cang Construction Joint Stock Company,Tan Cang Construction,Xây dựng Công trình Tân Cảng,Công ty Cổ phần Xây dựng Công trình Tân Cảng
12,X77,9679678,STOCK,UPCOM,Thanh An 77 Joint Stock Company,Thanh An 77,Thành An 77,Công ty Cổ phần Thành An 77
13,X26,8425324,STOCK,UPCOM,26 Joint Stock Company,Company X26,Công ty 26,Công ty Cổ phần 26
14,X20,8425271,STOCK,HNX,X20 Joint Stock Company,Gatexco 20 (X20),May mặc X20,Công ty Cổ phần X20
15,WTC,8426101,STOCK,UPCOM,Vinacomin - Waterway Transport Joint Stock Company,Vinacomin - Waterway Transport,Vận tải thủy Vinacomin,Công ty Cổ phần Vận tải thủy - Vinacomin
16,WSS,8425998,STOCK,HNX,Wall Street Securities Company,Wall Street Securities,Chứng khoán Phố Wall,Công ty Cổ phần Chứng khoán Phố Wall
17,WSB,8425280,STOCK,UPCOM,Western - Sai Gon Beer Joint Stock Company,Sai Gon Beer Western,Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây
18,WCS,8425613,STOCK,HNX,West Coach Station Joint Stock Company,West Coach Station,Bến xe Miền Tây,Công ty Cổ phần Bến xe Miền Tây
