,icb_name,en_icb_name,icb_code,level
0,Sản xuất Dầu khí,Oil & Gas Producers,0530,3
1,"Thiết bị, Dịch vụ và Phân phối Dầu khí","Oil Equipment, Services & Distribution",0570,3
2,Hóa chất,Chemicals,1350,3
3,Lâm nghiệp và Giấy,Forestry & Paper,1730,3
4,Kim loại,Industrial Metals & Mining,1750,3
5,Khai khoáng,Mining,1770,3
6,Xây dựng và Vật liệu,Construction & Materials,2350,3
7,Hàng công nghiệp,General Industrials,2720,3
8,Điện tử & Thiết bị điện,Electronic & Electrical Equipment,2730,3
9,Công nghiệp nặng,Industrial Engineering,2750,3
10,Vận tải,Industrial Transportation,2770,3
11,Tư vấn & Hỗ trợ Kinh doanh,Support Services,2790,3
12,Ô tô và phụ tùng,Automobiles & Parts,3350,3
13,Bia và đồ uống,Beverages,3530,3
14,Sản xuất thực phẩm,Food Producers,3570,3
15,Hàng gia dụng,Household Goods & Home Construction,3720,3
16,Hàng hóa giải trí,Leisure Goods,3740,3
17,Hàng cá nhân,Personal Goods,3760,3
18,Thuốc lá,Tobacco,3780,3
19,Thiết bị và Dịch vụ Y tế,Health Care Equipment & Services,4530,3
20,Dược phẩm,Pharmaceuticals & Biotechnology,4570,3
21,Phân phối thực phẩm & dược phẩm,Food & Drug Retailers,5330,3
22,Bán lẻ,General Retailers,5370,3
23,Truyền thông,Media,5550,3
24,Du lịch & Giải trí,Travel & Leisure,5750,3
25,Viễn thông cố định,Fixed Line Telecommunications,6530,3
26,Viễn thông di động,Mobile Telecommunications,6570,3
27,Sản xuất & Phân phối Điện,Electricity,7530,3
28,Nước & Khí đốt,"Gas, Water & Multi-utilities",7570,3
29,Ngân hàng,Banks,8350,3
30,Bảo hiểm phi nhân thọ,Nonlife Insurance,8530,3
31,Bảo hiểm nhân thọ,Life Insurance,8570,3
32,Bất động sản,Real Estate Investment & Services,8630,3
33,Dịch vụ tài chính,Financial Services,8770,3
34,Quỹ đầu tư,Equity Investment Instruments,8980,3
35,Phần mềm & Dịch vụ Máy tính,Software & Computer Services,9530,3
36,Thiết bị và Phần cứng,Technology Hardware & Equipment,9570,3
37,Dầu khí,Oil & Gas,0001,1
38,Dầu khí,Oil & Gas,0500,2
39,Hóa chất,Chemicals,1300,2
40,Tài nguyên Cơ bản,Basic Resources,1700,2
41,Xây dựng và Vật liệu,Construction & Materials,2300,2
42,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2700,2
43,Ô tô và phụ tùng,Automobiles & Parts,3300,2
44,Thực phẩm và đồ uống,Food & Beverage,3500,2
45,Hàng cá nhân & Gia dụng,Personal & Household Goods,3700,2
46,Y tế,Health Care,4500,2
47,Bán lẻ,Retail,5300,2
48,Truyền thông,Media,5500,2
49,Du lịch và Giải trí,Travel & Leisure,5700,2
50,Viễn thông,Telecommunications,6500,2
51,"Điện, nước & xăng dầu khí đốt",Utilities,7500,2
52,Ngân hàng,Banks,8300,2
53,Bảo hiểm,Insurance,8500,2
54,Bất động sản,Real Estate,8600,2
55,Dịch vụ tài chính,Financial Services,8700,2
56,Công nghệ Thông tin,Technology,9500,2
57,Sản xuất và Khai thác dầu khí,Exploration & Production,0533,4
58,Thiết bị và Dịch vụ Dầu khí,Oil Equipment & Services,0573,4
59,"Nhựa, cao su & sợi",Commodity Chemicals,1353,4
60,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",Specialty Chemicals,1357,4
61,Lâm sản và Chế biến gỗ,Forestry,1733,4
62,Sản xuất giấy,Paper,1737,4
